H,000000,
B,12345,&1 is doing well in &2.
B,98765,They have had &1 office referrals.
B,55544,There strength is in &1.
B,32331,"Over the past &1,they have missed &2 days of school."
B,32339,"Played too much &1, and they have &2 in restaurant."
B,32340,That is the reason why failing &1 class.
B,32341,Also failed &1 class in &2 year.
B,32342,Having some &1 issues and currently on &2 treatments.
N,00001,Do a quick 10 minute behavior check.,https://www.youtube.com/watch?v=Qcb3iC8ZVb8,https://www.youtube.com/watch?v=E_AhudFZnM0
N,00002,Tutoring may help to improve grades.,https://www.youtube.com/watch?v=HJO51GpRwwg,https://www.youtube.com/watch?v=SDTGfk6EEvw
N,00003,Go ask help from teachers.,https://www.youtube.com/watch?v=HJO51GpRwwg,https://www.youtube.com/watch?v=SDTGfk6EEvw
N,00004,Do group study with friends.,https://www.youtube.com/watch?v=HJO51GpRwwg,https://www.youtube.com/watch?v=SDTGfk6EEvw
N,00005,Making flash cards.,https://www.youtube.com/watch?v=HJO51GpRwwg,https://www.youtube.com/watch?v=SDTGfk6EEvw
N,00006,Spent more time on studying instead playing games.,https://www.youtube.com/watch?v=HJO51GpRwwg,https://www.youtube.com/watch?v=SDTGfk6EEvw
N,00007,testing 3.,https://genshin-impact.fandom.com/wiki/Xiao,https://www.youtube.com/watch?v=EPh6zPIYkao
N,00008,testing 4.,https://genshin-impact.fandom.com/wiki/Qingxin,https://www.youtube.com/watch?v=05n2RaItSDw
N,00009,this is just testing nothing serious.,https://genshin-impact.fandom.com/wiki/Qingxin,https://www.youtube.com/watch?v=05n2RaItSDw
P,prealgebra_intro,https://www.youtube.com/watch?v=cC7n_ZyVUns&list=PL4C9296DF81B9EF13&index=1
P,prealgebra_addition_subtraction,https://www.youtube.com/watch?v=mRRnpz6udeE&list=PL4C9296DF81B9EF13&index=2  
P,prealgebra_round_estimating,https://www.youtube.com/watch?v=SV0z6ZcpKtQ&list=PL4C9296DF81B9EF13&index=3 
P,prealgebra_multiplication,https://www.youtube.com/watch?v=YkfDOwHYb8w&list=PL4C9296DF81B9EF13&index=4  
P,prealgebra_division,https://www.youtube.com/watch?v=29pVwoK0M0s&list=PL4C9296DF81B9EF13&index=5  
P,prealgebra_exponent,https://www.youtube.com/watch?v=NKrxqWhf01Q&list=PL4C9296DF81B9EF13&index=6  
P,prealgebra_variable_expression,https://www.youtube.com/watch?v=hURKivs0GIs&list=PL4C9296DF81B9EF13&index=7  
P,prealgebra_intro_integers,https://www.youtube.com/watch?v=ZfujseLAsdQ&list=PL4C9296DF81B9EF13&index=8  
P,prealgebra_adding_rules,https://www.youtube.com/watch?v=xxtKyNmmD8o&list=PL4C9296DF81B9EF13&index=9  
P,prealgebra_subtracting,https://www.youtube.com/watch?v=yX2eRHXmT6o&list=PL4C9296DF81B9EF13&index=10  
P,prealgebra_multiplying,https://www.youtube.com/watch?v=bbAF80klBbs&list=PL4C9296DF81B9EF13&index=11  
P,prealgebra_order_operation,https://www.youtube.com/watch?v=v0Kk908aJIg&list=PL4C9296DF81B9EF13&index=12  
P,prealgebra_solving_basic_equation,https://www.youtube.com/watch?v=4hDDWuibpf4&list=PL4C9296DF81B9EF13&index=13  
P,prealgebra_simplifying_expression,https://www.youtube.com/watch?v=E2BoPzUIJDk&list=PL4C9296DF81B9EF13&index=14  
P,prealgebra_basic_equations,https://www.youtube.com/watch?v=w0TmOCn2mSg&list=PL4C9296DF81B9EF13&index=15  
P,prealgebra_general_equation,https://www.youtube.com/watch?v=84O6OdooLas&list=PL4C9296DF81B9EF13&index=16  
P,prealgebra_word_problems,https://www.youtube.com/watch?v=Qv8Mfjyyjto&list=PL4C9296DF81B9EF13&index=17  
P,prealgebra_fraction,https://www.youtube.com/watch?v=xEhnGTOC02E&list=PL4C9296DF81B9EF13&index=18  
P,prealgebra_prime_factorization,https://www.youtube.com/watch?v=p1mV9nBU8B8&list=PL4C9296DF81B9EF13&index=19  
P,prealgebra_multiply_divide_fraction,https://www.youtube.com/watch?v=y0YjFlkuGwY&list=PL4C9296DF81B9EF13&index=20  
P,prealgebra_add_subtract_fraction,https://www.youtube.com/watch?v=JqyQoJFD3dA&list=PL4C9296DF81B9EF13&index=21  
P,prealgebra_handling_no_denominator,https://www.youtube.com/watch?v=i1jQOSs-5sY&list=PL4C9296DF81B9EF13&index=22  
P,prealgebra_simplifying_complex_fraction,https://www.youtube.com/watch?v=Kg2B4Rk7Wsc&list=PL4C9296DF81B9EF13&index=23  
P,prealgebra_mixed_number_fractions,https://www.youtube.com/watch?v=wXB-CA9C2dY&list=PL4C9296DF81B9EF13&index=24  
